grp,vcov,sdcor,Percent,Rmse,Heritability,R_squared,Env.DAP,Vegetation.Index,DAP,Year,Env
Pedigree,1.06119656053195e-05,0.00325760120415613,29.76,0.00330560164621637,0.568,0.546923990806624,TXH1.2020.19,MExG_mean,19,2020,TXH1.2020
Pass,3.12332253497128e-06,0.00176729243051943,8.76,0.00330560164621637,0.568,0.546923990806624,TXH1.2020.19,MExG_mean,19,2020,TXH1.2020
Range,5.31171864173359e-06,0.00230471660768382,14.9,0.00330560164621637,0.568,0.546923990806624,TXH1.2020.19,MExG_mean,19,2020,TXH1.2020
Replicate,4.55381005836018e-07,0.000674819239378974,1.28,0.00330560164621637,0.568,0.546923990806624,TXH1.2020.19,MExG_mean,19,2020,TXH1.2020
Residual,1.61559269243861e-05,0.00401944360880783,45.31,0.00330560164621637,0.568,0.546923990806624,TXH1.2020.19,MExG_mean,19,2020,TXH1.2020
Pedigree,3.35360856157581e-07,0.000579103493477272,19.82,0.000901183239190767,0.387,0.373016523949496,TXH1.2020.19,MExG_median,19,2020,TXH1.2020
Pass,1.01211686116347e-07,0.000318137841377519,5.98,0.000901183239190767,0.387,0.373016523949496,TXH1.2020.19,MExG_median,19,2020,TXH1.2020
Range,1.73697349883272e-07,0.000416770140345097,10.27,0.000901183239190767,0.387,0.373016523949496,TXH1.2020.19,MExG_median,19,2020,TXH1.2020
Replicate,2.07615713016957e-08,0.000144088761885498,1.23,0.000901183239190767,0.387,0.373016523949496,TXH1.2020.19,MExG_median,19,2020,TXH1.2020
Residual,1.06066695455631e-06,0.00102988686493047,62.7,0.000901183239190767,0.387,0.373016523949496,TXH1.2020.19,MExG_median,19,2020,TXH1.2020
Pedigree,4.74299444211996e-05,0.00688694013486393,6.02,0.021642716639285,0.149,0.311678879975389,TXH1.2020.19,MGVRI_mean,19,2020,TXH1.2020
Pass,7.71694279707082e-05,0.00878461313722512,9.8,0.021642716639285,0.149,0.311678879975389,TXH1.2020.19,MGVRI_mean,19,2020,TXH1.2020
Range,0.000120841846930061,0.0109928088735346,15.35,0.021642716639285,0.149,0.311678879975389,TXH1.2020.19,MGVRI_mean,19,2020,TXH1.2020
